Fips_Code_Final,phd1,county,PCT_OBESE_ADULTS,PCT_OBESE_CHILD09,Mamm_Sites,bcallbk,wealthbk,rentbk,nocarbk,crowdbk,bcallw,wealthwt,rentwt,nocarwt,crowdwt,Iblack2000,Iwhite2000,GINI2000,THEIL1990,Per_Low_Literacy,Per_Rep_04,Per_Rep_08,Av_Per_Rep,Per_Dem_04,Per_Dem_08,Av_Per_Dem,B_Infant_Mort_Rate_99_08,W_Infant_Mort_Rate_99_08,TOTPOP_2005,MEDIAN_AGE,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,MEDIAN_AGE_AFRICAN_AMER,MEDIAN_AGE_AFR_AM_MALE,MEDIAN_AGE_AFR_AM_FEMALE,MEDIAN_AGE_HISPANIC,MEDIAN_AGE_HISPANIC_MALE,MEDIAN_AGE_HISPANIC_FEMALE,MEDIAN_AGE_WHITE_NON_HISPANIC,MEDIAN_AGE_WHITE_NON_HISP_MALE,MEDIAN_AGE_WHITE_NON_HISP_FMLE,PERCNT_TOT_POPULATION_ONE_RACE,PERCNT_WHITE_POPULATION,PERCNT_AFRICAN_AM_POP,PERCNT_HISPANIC_POP,PERCNT_FOREIGN_BORN_POP,PERCNT_URBAN_POP,PERCNT_MEDCR_ADV_PENETRATN,PERCNT_MEDCAR_DRUG_PENETRTN,PERCAP_INCOME,PERCNT_DIVORCED_FEMALES,PERCNT_LT65_NO_HLTH_INS,PERCNT_MALES_LT65_NO_HLTH_INS,PERCNT_FEMALES_LT65_NO_HLTH_INS,UNEMPLOYMENT_RATE,PERCNT_AGR_FRST_MIN_WRLR,PERCNT_CONTRUCT_WRKR,PERCNT_HLTH_SOCSRV_WRKR,PERCNT_MANUF_WRKR,PERCNT_WHCOLLAR_WRKR,HPSA_PC_WHOLECO,HPSA_PC_PARTCO,HPSA_DENT_WHOLECO,HPSA_DENT_PARTCO,HPSA_MH_WHOLECO,HPSA_MH_PARTCO,FARM_DEPENDENT,MINING_DEPENDENT,MFG_DEPENDENT,GOVT_DEPENDENT,SERVICE_DEPENDENT,NONSPEC_DEPENDENT,HOUSING_STRESS,LOW_EDUC,LOW_EMPLOY,PERSIST_POVERTY,POP_LOSS,NONMETRO_RECREAT,RETIRE_DESTINATION,RATE_ACTMDS_FEDNONFED,RATE_ACTMDS_NONFED,RATE_MDS_TOT_PTCARE_NONFED,RATE_MDS_PC_OFFBASED,RATE_MDS_PC_HOSP_RES,RATE_MDS_PC_HOSP_FT,RATE_MDS_GP_TOT_PC,RATE_MDS_TOT_GP_OFFBASED,RATE_MDS_TOT_GP_PC,RATE_MDS_GP_PC_OFFBASED,RATE_MDS_GP_PC_HOSP_FT,RATE_MDS_FM_TOT_PC,RATE_MDS_TOT_FM_OFFBASED,RATE_MDS_TOT_FM_HOSP_RES,RATE_MDS_TOT_FM_HOSP_FT,RATE_MDS_SPEC_TOT_PC,RATE_MDS_TOT_SPEC_OFFBASED,RATE_MDS_TOT_SPEC_HOSP_RES,RATE_MDS_TOT_SPEC_HOSP_FT,RATE_ALLERGIST_TOT_PC,RATE_CARDIO_TOT_PC,RATE_DERM_TOT_PC,RATE_GASTRO_TOT_PC,RATE_INTMED_TOT_PC,RATE_INTMED_SPEC_TOT_PC,RATE_PEDS_TOT_PC,RATE_PEDS_SPEC_TOT_PC,RATE_PEDS_CARDIO_TOT_PC,RATE_PULM_TOT_PC,RATE_SURG_SPEC_TOT_PC,RATE_SURG_GEN_TOT_PC,RATE_NEURSURG_TOT_PC,RATE_OBGYN_TOT_PC,RATE_OBGYN_SPEC_TOT_PC,RATE_OPTH_TOT_PC,RATE_ORTHOSURG_TOT_PC,RATE_OTOLARYN_TOT_PC,RATE_PLASTIC_TOT_PC,RATE_COLONSURG_TOT_PC,RATE_THORSURG_TOT_PC,RATE_UROL_TOT_PC,RATE_OTHSPEC_TOT_PC,RATE_ANEST_TOT_PC,RATE_CHPSYCH_TOT_PC,RATE_DGRADIOL_TOT_PC,RATE_EMERG_TOT_PC,RATE_NEURO_TOT_PC,RATE_NUCMED_TOT_PC,RATE_OCCMED_TOT_PC,RATE_OCCMED_OFFBASED_PC,RATE_PSYCH_TOT_PC,RATE_PATH_TOT_PC,RATE_PHYSMED_TOT_PC,RATE_PREVMED_TOT_PC,RATE_RADIOL_TOT_PC,RATE_RADONC_TOT_PC,RATE_MDS_TOT_PC_HOSP_FT,RATE_MDS_TOT_OTH_ACT,RATE_MDS_TOT_INACTIVE,RATE_MDS_TOT_GP_HSP_FT,RATE_MDS_TOT_GP_OTH_ACT,RATE_MDS_INTMED_HSP_FT,RATE_MDS_PEDS_HSP_FT,RATE_MDS_OTHMED_HSP_FT,RATE_MDS_GENSURG_HSP_FT,RATE_MDS_OTHSURG_HSP_FT,RATE_MDS_PHYCH_HSP_FT,RATE_MDS_OTHSPEC_HSP_FT,PERCENT_MDS_MALE,PERCENT_MDS_FEMALE,PERCENT_MDS_UNDER_45YR,PERCENT_MDS_45_64YR,PERCENT_MDS_OLDER_65YR,PERCENT_TOT_GPS_UNDER_45YR,PERCENT_TOT_GPS_45_64YR,PERCENT_TOT_GPS_OLDER_65YR,PERCENT_GEN_PRAC_UNDER_45YR,PERCENT_GEN_PRAC_45_64YR,PERCENT_GEN_PRAC_OLDER_65YR,PERCENT_FAM_MED_UNDER_45YR,PERCENT_FAM_MED_45_64YR,PERCENT_FAM_MED_OLDER_65YR,PERCENT_FM_SPEC_UNDER_45YR,PERCENT_FM_SPEC_45_64YR,PERCENT_FM_SPEC_OLDER_65YR,PERCENT_MED_SPEC_UNDER_45YR,PERCENT_MED_SPEC_45_64YR,PERCENT_MED_SPEC_OLDER_65YR,PERCENT_GEN_INTMED_UNDER_45YR,PERCENT_GEN_INTMED_45_64YR,PERCENT_GEN_INTMED_OLDER_65YR,PERCENT_OBGYN_UNDER_45YR,PERCENT_OBGYN_45_64YR,PERCENT_OBGYN_OLDER_65YR,PERCENT_DGRADIOL_UNDER_45YR,PERCENT_DGRADIOL_45_64YR,PERCENT_DGRADIOL_OLDER_65YR,PERCENT_PREVMED_45_64YR,PERCENT_PREVMED_OLDER_65YR,PERCENT_RADIOL_UNDER_45YR,PERCENT_RADIOL_45_64YR,PERCENT_RADIOL_OLDER_65YR,PERCENT_RAD_ONC_UNDER_45YR,PERCENT_RAD_ONC_45_64YR,PERCENT_RAD_ONC_OLDER_65YR,RATE_ACTV_DO_FEDNONFED,RATE_ACTV_DO_NONFED,RATE_ACTV_DO_FED,RATE_DO_TOT_PTCARE,PERCENT_DO_MALE,PERCENT_DO_FEMALE,RATE_TOT_ACTV,RATE_TOT_PRVPRAC,RATE_TOT_STGOV,PERCENT_DENT_PRVPRAC_FT,PERCENT_DENT_PRVPRAC_PT,PERCENT_DENT_MALE,PERCENT_DENT_FEMALE,RATE_ACTV_PA,RATE_PRIMCARE_PA,RATE_SURG_PA,RATE_OTHSPEC_PA,RATE_UNKSPEC_PA,RATE_MIDWIVES,RATE_MIDWIVES_HOSP,RATE_MIDWIVES_PHYSPRAC,RATE_MED_SRG_ADULT_BEDS,RATE_MED_SRG_PED_BEDS,RATE_OBSTET_BEDS,RATE_INTSV_CARE_BEDS,RATE_CARD_INTSV_CARE_BEDS,RATE_NEONAT_INTSV_BEDS,RATE_NEONAT_INTERM_BEDS,RATE_OTH_SPEC_CARE_BEDS,RATE_OTH_INTENSV_CARE_BEDS,RATE_REHAB_CARE_BEDS,RATE_ALC_CHEM_DEPEND_BEDS,RATE_PSYCH_CARE_BEDS,RATE_SKILL_NURS_BEDS,RATE_INTERM_NURS_BEDS,RATE_OTHER_CARE_BEDS,RATE_TOTAL_INPT_BEDS,RATE_SNF_TOT_BEDS,RATE_SNF_CERT_BEDS,RATE_OUTPT_VISITS_GENHOSP,RATE_OUTPT_VISITS_NGHOSP,RATE_ER_VISITS,RATE_OUTPT_VISITS_OTH,RATE_SURG_OPS_INPT,RATE_SURG_OPS_OUTPT,RATE_SURG_OPS_TOTAL,RATE_OP_ROOMS,RATE_ISOLATION_RMS,PERCNT_AA_MALES_65_PLUS,PERCNT_AA_FEMALES_65_PLUS,PERCNT_WH_MALES_65_PLUS,PERCNT_WH_FEMALES_65_PLUS,PERCNT_HISP_MALES_65_PLUS,PERCNT_HISP_FEMALES_65_PLUS,PERCNT_NONENG_SPEAK_OVER18YRS,PERCNT_RURAL_FARM,PERCNT_RURAL_NONFARM,PERCNT_VETERAN_POP,PERCNT_VETERAN_MALE,PERCNT_VETERAN_FEMALE,PERCNT_MEDCAR_ELIG,PERCNT_MEDCAR_ADVNTG_ELIG,PERCNT_MEDCAR_DRUG_ENROL,PERCNT_MEDCR_ENROL_AGED_TOT,PERCNT_MEDCR_ENROL_AGED_HI,PERCNT_MEDCR_ENROL_AGED_SMI,PERCNT_MEDCR_ENROL_DISABL_TOT,PERCNT_MEDCR_ENROL_DISABL_HI,PERCNT_MEDCR_ENROL_DISABL_SMI,PERCNT_MEDCR_ENROL_AGED_DSBL_TOT
1063,1063,"Greene County, AL",43.70,20.20,.00,.49,.00,.29,.20,.06,.490,.000,.152,.032,.027,.807,.19,.576,.431,31.15,20.20,16.55,18.37,79.30,83.15,81.23,1034.50,,9661,35.90,32.90,37.80,33.00,27.60,35.50,24.00,16.80,31.30,46.40,45.30,48.40,99.70,19.10,80.30,.60,.70,.00,.00,62.76,22551,7.50,15.10,15.80,14.50,6.00,6.50,7.80,23.70,17.00,42.30,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,51.75,51.75,41.40,31.05,.00,10.35,20.70,10.35,.00,.00,.00,20.70,10.35,.00,10.35,20.70,20.70,.00,.00,.00,.00,.00,.00,20.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,57.14,42.86,57.14,14.29,28.57,50.00,50.00,.00,,,,50.00,50.00,.00,,,,100.00,.00,.00,100.00,.00,.00,,,,,,,,,,,,,,,.00,.00,.00,.00,,,.00,.00,.00,,,,,20.70,10.03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,20.70,74.53,74.53,1925.16,.00,.00,1638.55,2960.36,19552.84,22513.20,.00,.00,10.80,14.65,19.79,25.45,25.00,60.00,.18,5.37,94.63,6.50,87.98,12.02,19.73,.00,12.40,87.82,86.19,84.29,5.37,5.37,5.07,18.74
28027,28027,"Coahoma County, MS",42.70,9.20,9.54,.60,.00,.53,.27,.10,.548,.006,.229,.040,.011,.763,.45,.541,.506,23.00,34.64,26.34,30.49,64.10,73.13,68.62,1980.40,,29002,30.50,27.40,33.20,25.20,21.70,28.00,24.80,21.90,28.50,42.90,40.60,45.10,99.40,29.30,69.20,.90,.90,67.90,.29,75.31,23892,8.40,11.60,13.30,10.10,11.30,6.20,5.50,23.20,9.10,51.60,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,179.30,175.85,165.51,148.27,3.45,13.79,13.79,13.79,3.45,3.45,.00,10.34,10.34,.00,.00,75.86,65.51,3.45,6.90,.00,3.45,.00,6.90,27.58,17.24,44.00,11.00,.00,3.45,44.82,13.79,.00,46.37,11.59,6.90,6.90,.00,.00,.00,.00,.00,.00,6.90,11.00,3.45,.00,3.45,.00,.00,.00,6.90,.00,.00,.00,3.45,.00,3.45,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,3.45,69.09,30.91,38.18,41.82,20.00,25.00,50.00,25.00,.00,100.00,.00,33.33,33.33,33.33,,,,54.55,40.91,4.55,37.50,50.00,12.50,50.00,50.00,.00,.00,100.00,.00,,,.00,.00,100.00,,,,6.90,6.90,.00,3.45,100.00,.00,24.14,24.14,.00,85.71,14.29,100.00,.00,.00,.00,.00,.00,.00,6.04,.00,.00,109.75,.00,.00,3.45,.00,.00,.00,.00,.00,4.83,.00,.00,.00,.00,.00,67.24,62.06,62.06,907.35,.00,.00,67.68,6968.48,8613.20,15581.68,24.14,.00,7.08,10.81,15.56,22.99,10.00,11.59,.60,2.79,97.21,4.98,91.78,8.22,16.44,.05,11.88,87.37,86.71,82.45,3.80,3.80,3.61,15.11
28051,28051,"Holmes County, MS",42.20,16.50,.00,.40,.00,.30,.29,.13,.515,.011,.149,.071,.021,.790,.23,.571,.603,29.00,23.67,17.67,20.67,75.87,81.59,78.73,1330.90,,21099,29.70,26.00,32.50,26.30,22.60,29.10,21.30,19.70,25.80,44.10,41.10,47.30,99.50,20.50,78.70,.90,.30,27.00,.63,71.72,18395,8.50,13.40,15.20,11.80,12.90,5.50,5.90,22.90,24.60,44.20,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,80.57,75.83,75.83,66.35,.00,9.48,47.40,42.66,4.74,4.74,.00,42.66,37.92,.00,4.74,18.96,18.96,.00,.00,.00,.00,.00,.00,9.48,4.74,15.93,.00,.00,.00,4.74,.00,.00,16.24,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,4.74,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,4.74,.00,.00,4.74,.00,.00,.00,.00,.00,.00,.00,.00,82.35,17.65,23.53,58.82,17.65,20.00,60.00,20.00,.00,.00,100.00,22.22,66.67,11.11,,,,25.00,75.00,.00,.00,100.00,.00,100.00,.00,.00,,,,,,,,,,,,4.74,.00,4.74,.00,,,14.22,14.22,.00,100.00,.00,66.67,33.33,.00,.00,.00,.00,.00,8.66,.00,.00,30.97,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,16.59,32.23,32.23,325.80,.00,.00,19.15,.00,.00,.00,.00,.00,7.90,11.38,16.64,27.30,28.57,52.63,.36,4.25,95.75,4.60,87.67,12.33,18.11,.11,12.45,93.23,92.67,88.59,4.49,4.48,4.34,16.30
28053,28053,"Humphreys County, MS",42.10,18.60,.00,.35,.00,.49,.24,.14,.479,.000,.259,.043,.013,.717,.28,.523,.640,28.00,34.96,27.92,31.44,63.96,71.43,67.69,1720.00,,10527,30.50,27.40,32.60,26.20,22.60,29.30,27.60,28.30,25.50,41.00,38.00,44.20,99.70,27.20,71.50,1.50,.80,54.10,.00,74.35,19863,5.90,11.60,13.60,9.80,11.40,16.60,4.60,21.70,22.30,44.00,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,57.00,57.00,47.50,47.50,.00,.00,28.50,28.50,.00,.00,.00,28.50,28.50,.00,.00,19.00,19.00,.00,.00,.00,.00,.00,.00,9.50,.00,.00,31.22,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,66.67,33.33,50.00,50.00,.00,33.33,66.67,.00,,,,33.33,66.67,.00,,,,50.00,50.00,.00,.00,100.00,.00,,,,,,,,,,,,,,,.00,.00,.00,.00,,,.00,.00,.00,,,,,.00,.00,.00,.00,.00,.00,.00,.00,47.79,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,26.60,57.00,57.00,762.23,.00,.00,.00,.00,.00,.00,.00,.00,7.68,11.94,12.17,21.64,4.41,13.51,.95,4.06,95.94,4.23,95.72,4.28,17.01,.00,11.67,90.16,89.63,85.53,4.39,4.39,4.19,15.87
28063,28063,"Jefferson County, MS",41.80,15.80,.00,.45,.00,.21,.18,.07,.443,.000,.066,.028,.035,.864,.16,.489,.448,30.00,18.23,38.81,28.52,81.34,60.62,70.98,1205.80,,9432,32.40,30.60,34.40,29.90,28.50,31.70,29.50,27.50,39.50,46.30,44.30,49.00,99.80,13.10,86.50,.70,.30,28.50,1.63,71.96,15271,10.80,19.00,18.10,19.80,15.90,5.00,7.00,28.40,18.30,43.50,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,42.41,42.41,42.41,42.41,.00,.00,31.81,31.81,10.60,10.60,.00,21.20,21.20,.00,.00,10.60,10.60,.00,.00,.00,.00,.00,.00,10.60,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,75.00,25.00,.00,75.00,25.00,.00,66.67,33.33,.00,100.00,.00,.00,50.00,50.00,,,,.00,100.00,.00,.00,100.00,.00,,,,,,,,,,,,,,,.00,.00,.00,.00,,,10.60,.00,10.60,,,,,.00,.00,.00,.00,.00,.00,.00,.00,56.75,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,31.81,63.61,63.61,163.70,.00,.00,.00,.00,.00,.00,.00,.00,7.91,10.16,17.72,28.71,.00,60.00,.59,3.26,96.74,4.92,85.93,14.07,14.94,.24,11.10,81.84,81.47,79.40,4.89,4.89,4.69,14.11
28143,28143,"Tunica County, MS",41.70,15.00,.00,.58,.00,.47,.22,.12,.594,.000,.420,.061,.010,.699,.27,.493,.670,26.00,30.02,22.65,26.33,68.70,76.46,72.58,2318.50,,10321,30.60,29.00,32.00,25.40,22.80,27.60,24.30,24.60,23.50,44.50,43.20,45.60,99.30,27.50,70.20,2.50,.90,41.00,10.00,60.10,19656,8.10,10.30,12.90,7.90,10.30,10.70,6.30,11.20,9.30,40.70,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,29.07,29.07,19.38,19.38,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,9.69,9.69,.00,.00,.00,.00,.00,.00,.00,.00,.00,32.01,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,9.69,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,25.00,75.00,50.00,50.00,.00,,,,,,,,,,,,,100.00,.00,.00,,,,,,,,,,,,,,,,,,.00,.00,.00,.00,100.00,.00,.00,.00,.00,,,,,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,6.56,10.01,12.18,16.55,1.01,13.04,.49,2.59,97.41,5.97,92.36,7.64,13.47,1.35,9.11,100.00,100.00,95.71,3.84,3.84,3.61,13.05
46113,46113,"Shannon County, SD",41.00,21.60,25.00,.00,.00,.00,.00,.00,.130,.000,.559,.000,.156,.004,.10,.465,.337,10.00,12.50,9.87,11.18,84.60,88.70,86.65,,,13657,20.60,19.80,21.20,33.00,37.30,3.50,18.80,20.30,18.00,37.10,36.80,37.50,99.10,4.50,.10,1.40,.60,27.60,.00,53.08,16278,12.20,11.90,14.80,9.10,11.30,2.00,5.80,40.60,.80,62.30,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,73.22,36.61,36.61,21.97,7.32,7.32,14.64,.00,.00,.00,.00,14.64,.00,7.32,7.32,21.97,21.97,.00,.00,.00,.00,.00,.00,14.64,.00,18.22,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,36.61,.00,.00,14.64,.00,.00,54.67,.00,.00,.00,.00,.00,66.67,33.33,33.33,66.67,.00,50.00,50.00,.00,,,,50.00,50.00,.00,,,,33.33,66.67,.00,50.00,50.00,.00,,,,,,,,,,,,,,,.00,.00,.00,.00,,,21.97,.00,.00,,,,,43.93,8.02,.00,.00,.00,31.74,15.87,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,32.95,.00,.00,17121.04,.00,.00,15363.40,4012.59,6963.46,10976.06,.00,.00,.00,.00,9.46,7.26,13.33,16.67,1.31,2.34,97.66,5.40,92.21,7.79,6.88,.00,3.79,100.00,100.00,85.35,1.79,1.79,1.61,6.46
1119,1119,"Sumter County, AL",40.80,13.70,.00,.46,.01,.27,.25,.09,.524,.003,.222,.055,.007,.735,.28,.520,.697,28.17,29.20,24.74,26.97,70.40,74.93,72.66,2421.10,,13819,32.10,29.30,34.50,29.90,26.80,32.40,21.10,19.00,21.80,39.60,37.00,41.90,99.50,25.90,73.20,1.10,.50,.00,.47,65.94,20509,9.30,15.80,18.00,13.90,6.70,5.00,4.70,24.00,21.80,47.30,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,36.18,36.18,36.18,28.95,.00,7.24,14.47,14.47,7.24,7.24,.00,7.24,7.24,.00,.00,21.71,14.47,.00,7.24,.00,.00,.00,.00,14.47,.00,27.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,80.00,20.00,20.00,20.00,60.00,.00,.00,100.00,.00,.00,100.00,.00,.00,100.00,,,,33.33,33.33,33.33,50.00,50.00,.00,,,,,,,,,,,,,,,7.24,7.24,.00,7.24,100.00,.00,7.24,7.24,.00,.00,100.00,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,40.73,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,23.88,82.50,82.50,284.25,.00,.00,.00,.00,.00,.00,.00,.00,9.29,14.27,15.82,22.51,6.67,29.17,.43,2.68,97.32,5.80,92.21,7.79,20.03,.09,12.89,88.47,85.89,85.85,5.04,5.04,4.76,18.21
1131,1131,"Wilcox County, AL",40.80,17.40,9.35,.47,.01,.19,.27,.11,.494,.000,.134,.057,.010,.733,.30,.561,.497,29.94,32.30,28.84,30.57,67.50,71.01,69.25,1117.30,,12937,33.80,31.30,35.70,28.80,26.00,31.10,23.80,18.50,27.50,45.70,43.20,48.40,99.80,27.50,71.90,.70,.30,.00,8.06,65.07,18820,7.50,14.10,14.70,13.60,8.50,7.60,7.90,19.40,19.90,42.40,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,46.38,38.65,38.65,38.65,.00,.00,23.19,23.19,7.73,7.73,.00,15.46,15.46,.00,.00,7.73,7.73,.00,.00,.00,.00,.00,.00,7.73,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,7.73,.00,.00,7.73,.00,.00,.00,.00,.00,.00,.00,.00,80.00,20.00,40.00,40.00,20.00,33.33,33.33,33.33,.00,.00,100.00,50.00,50.00,.00,,,,100.00,.00,.00,100.00,.00,.00,,,,,,,,,,,,,,,15.46,15.46,.00,.00,100.00,.00,15.46,15.46,.00,.00,100.00,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,42.59,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,24.74,73.43,73.43,1038.57,.00,.00,745.46,.00,.00,.00,.00,.00,8.76,12.45,16.67,25.69,33.33,41.18,.12,2.69,97.31,5.10,89.68,10.32,20.81,1.68,13.48,92.43,90.44,89.23,6.55,6.55,6.27,19.48
28021,28021,"Claiborne County, MS",40.80,17.30,.00,.44,.00,.19,.18,.10,.548,.005,.094,.050,.006,.845,.17,.528,.423,23.00,17.68,15.00,16.34,81.53,84.52,83.03,1339.00,,11492,25.60,24.30,27.50,23.00,22.50,23.70,23.50,25.30,20.00,48.40,46.90,50.10,99.60,15.20,84.10,.80,.60,25.30,.00,59.62,17603,5.20,22.40,23.50,21.40,12.30,4.20,3.70,27.80,19.80,49.10,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,34.81,34.81,34.81,26.11,.00,8.70,17.40,17.40,.00,.00,.00,17.40,17.40,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,8.70,8.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,8.70,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,75.00,25.00,25.00,50.00,25.00,.00,100.00,.00,,,,.00,100.00,.00,,,,,,,,,,,,,,,,,,,,,,,,.00,.00,.00,.00,,,8.70,8.70,.00,100.00,.00,100.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,42.17,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,21.75,67.00,67.00,1108.95,.00,.00,615.21,.00,.00,.00,.00,.00,6.49,9.54,18.21,27.84,26.67,28.57,.25,1.69,98.31,5.00,95.73,4.27,14.00,.00,7.66,87.85,87.45,84.31,3.25,3.25,3.11,12.75
