,Area_name,FIPS_Code,tot_house_2000,hsgsd2000,hsg_mobile_200,vacant2000,oldhouse2000,hsg50_59_2000,hsg_slght_crwd_2000,hsg-mod_crowd_2000,hsg_very_crwd_2000,hsg_inc_plumb_2000,hsg_utilitygas_2000,hsg_bottledgas_2000,hsg_electric_2000,hsg_kero_2000,hsg_coal_2000,hsg_wood_2000,hsg_solar_2000,hsg_other_fuel_2000,hsg_noheat_2000
0,"Autauga, AL",1001,17662,68.2935114936,26.129543653,9.39304722002,6.8791756313,6.08651341864,1.9873174046,0.356697995697,0.0679424753709,0.464273581701,40.7201902389,19.0918355792,29.3171781225,0.135884950742,0.0,0.945532782244,0.0283093647379,0.0339712376854,0.334050503907
1,"Baldwin, AL",1003,74285,60.5559668843,17.6711314532,25.5085145049,6.71198761527,5.20158847681,1.22635794575,0.433465706401,0.134616679007,0.355388032577,12.0172309349,6.15063606381,55.0326445447,0.131924345426,0.0,0.885777747863,0.0296156693814,0.0538466716026,0.189809517399
2,"Barbour, AL",1005,12461,57.8524997994,29.5883155445,16.46737822,14.3166680042,7.45526041249,2.43158655004,1.42845678517,0.337051600995,0.545702592087,12.8561110665,18.5859882834,50.8546665597,0.128400609903,0.0,0.850654040607,0.0,0.0481502287136,0.208650991092
3,"Bibb, AL",1007,8345,58.5020970641,34.0203714799,11.0724985021,15.302576393,8.69982025165,2.34871180348,0.299580587178,0.16776512882,1.05452366687,28.0287597364,19.1851408029,38.7297783104,0.491312162972,0.0,1.97723187537,0.0,0.359496704614,0.155781905333
4,"Blount, AL",1009,21158,66.1830040647,28.4809528311,8.94697041308,10.9698459212,8.308913886,1.82436903299,0.812931278949,0.434823707345,0.48681349844,15.3511674071,26.7652897249,45.6801209944,0.44900274128,0.0519897910956,2.13158143492,0.0,0.217411853672,0.406465639474
5,"Bullock, AL",1011,4727,57.3513856569,32.8326634229,15.6759043791,14.4277554474,7.65813412312,3.40596572879,2.85593399619,0.423101332769,0.571186799238,15.8239898456,37.9944996827,29.3632324942,0.190395599746,0.0,0.909667865454,0.0423101332769,0.0,0.0
6,"Butler, AL",1013,9957,62.7699106156,26.5340966154,15.657326504,19.4436075123,9.60128552777,2.33001908205,0.662850256101,0.190820528272,0.652807070403,18.5899367279,29.7378728533,33.4136788189,0.0,0.0,2.41036456764,0.020086371397,0.0,0.170734156875
7,"Calhoun, AL",1015,51322,68.8457191848,17.4934725849,11.7201200265,16.9050309809,12.7411246639,1.16129535092,0.403335801411,0.0915786602237,0.49101749737,43.525193874,9.3040021823,34.0770040139,0.36241767663,0.0155878570594,0.654689996493,0.037021160516,0.11301196368,0.190951248977
8,"Chambers, AL",1017,16256,72.0472440945,18.7253937008,10.6668307087,25.842765748,13.6934055118,1.86392716535,0.35063976378,0.0861220472441,0.725885826772,36.5157480315,18.4239665354,31.5883366142,0.516732283465,0.0,2.08538385827,0.0,0.0615157480315,0.141486220472
9,"Cherokee, AL",1019,14025,55.8859180036,33.3832442068,30.7023172906,9.48306595365,6.19607843137,0.955436720143,0.320855614973,0.163992869875,0.349376114082,9.45454545455,30.5668449198,27.0160427807,0.620320855615,0.0,1.42602495544,0.0,0.0427807486631,0.171122994652
10,"Chilton, AL",1021,17651,64.3702906351,31.3183389043,13.3930088947,13.2117160501,10.6282930146,1.58064698884,0.181292844598,0.0793156195116,0.498555322645,13.6649481616,30.9784148207,40.020395445,0.441901308708,0.0,1.23505750382,0.0,0.073650218118,0.192623647385
11,"Choctaw, AL",1023,7839,61.1812731216,34.2135476464,18.8289322618,9.92473529787,10.5753284858,1.79869881362,0.765403750478,0.178594208445,1.49253731343,6.50593187907,37.6961347111,31.1264191861,0.204107666794,0.0382701875239,5.01339456563,0.0892971042225,0.293404771017,0.204107666794
12,"Clarke, AL",1025,12631,63.8191750455,28.6913150186,16.2536616262,13.5381204972,11.2976011401,1.72591243765,0.752117805399,0.0712532657747,1.13213522286,28.7942364025,21.5105692344,29.7442799462,0.237510885916,0.0,2.12968094371,0.0,0.0475021771831,1.28255878394
13,"Clay, AL",1027,6612,63.9594676346,27.2534785239,12.8100423472,19.1470054446,8.5148215366,1.31578947368,0.257108287961,0.13611615245,1.20992135511,22.8675136116,27.6920750151,32.3502722323,0.241984271022,0.0,3.72050816697,0.0,0.317604355717,0.0
14,"Cleburne, AL",1029,6189,62.6918726773,32.4285021813,9.67846178704,15.3174987882,10.5025044434,0.872515753757,0.371627080304,0.113103894005,0.807884957182,10.7610276297,47.7298432703,27.4357731459,0.0,0.0,3.87784779447,0.0,0.193892389724,0.323153982873
15,"Coffee, AL",1031,19837,68.6041236074,16.3936079044,12.179260977,10.7980037304,10.9946060392,1.64339365832,0.594848011292,0.136109290719,0.700710792963,12.2296718254,12.1288501285,61.7633714775,0.609971265816,0.0,0.741039471694,0.0,0.0403286787317,0.307506175329
