,Variable,Mean,std,Min,Max,diffofmeanandmin,diffmeanandmax,r2value,pvalue
0,RATE_MDS_TOT_FM_OFFBASED,24.2267178574,19.9651344464,0.0,328.812166,24.2267178574,-304.585448143,0.00120341288899,0.216676946806
1,RATE_MDS_SPEC_TOT_PC,34.1119005196,51.1174705509,0.0,1037.045253,34.1119005196,-1002.93335248,0.000884921668147,0.289459216996
2,RATE_ORTHOSURG_TOT_PC,3.79284846233,6.45898203485,0.0,106.338255,3.79284846233,-102.545406538,0.00274964899966,0.0617412932403
3,admh_index_f,89.6209554551,3.14610605908,79.28,95.66,10.3409554551,-6.03904454487,0.000741487924059,0.332230358758
4,RATE_MDS_TOT_SPEC_HOSP_RES,2.99752384514,14.9459665961,0.0,410.381544,2.99752384514,-407.384020155,0.000926325193619,0.278445503444
5,RATE_SURG_OPS_INPT,2150.30061148,4654.73457767,0.0,177645.85846,2150.30061148,-175495.557849,0.000888220760353,0.288561606069
6,Housing_Rent_W,0.233261147438,0.065842302859,0.040076,0.699173,0.193185147438,-0.465911852562,0.000261492637144,0.564785802463
7,2011_Associate's_Degree_or_Higher_(%_of_adults_25_and_older_),26.3603609534,9.20513548485,7.9789214,72.72977,18.3814395534,-46.3694090466,0.000284722765712,0.547986019745
8,RATE_PSYCH_TOT_PC,4.41306032357,8.48439565991,0.0,128.39356,4.41306032357,-123.980499676,0.0042631481201,0.0199633977066
9,Housing_Rent_B,0.485393625145,0.270651817387,0.0,1.0,0.485393625145,-0.514606374855,0.000248903414967,0.574309828477
10,Temp_min,46.7159897007,7.84472898485,22.54,71.31,24.1759897007,-24.5940102993,0.00542839330991,0.00862327303023
11,2013_Median_Household_Income_(2010_$),43733.678803,11363.2642172,18752.4940963,116652.456555,24981.1847068,-72918.7777516,2.33109094682e-05,0.86352228788
12,RATE_PEDS_TOT_PC,28.6004850705,45.1449414208,0.0,674.838177,28.6004850705,-646.237691929,0.00380310007236,0.0279747971966
13,RATE_SURG_GEN_TOT_PC,6.73615880039,9.12675072289,0.0,148.37896,6.73615880039,-141.6428012,3.3665484476e-06,0.947916748781
14,2013_Associate's_Degree_or_Higher_(%_of_adults_25_and_older_),26.9028821244,9.3412299264,8.7,74.9,18.2028821244,-47.9971178756,0.00012699730602,0.688256476023
15,RATE_SKILL_NURS_BEDS,4.61680043818,17.6802158745,0.0,231.744644,4.61680043818,-227.127843562,0.00114288359894,0.228618865367
16,Filtered_Arsenic_03-05,4.7738805248,18.0328137639,0.0,272.923853211,4.7738805248,-268.149972686,0.00225911341467,0.0904320303193
17,EducationIndex,3.98067933033,1.07924293578,0.87,8.95,3.11067933033,-4.96932066967,0.00174043277161,0.137303619438
18,RATE_SHRTTERM_NH_HOSP_BEDS,7.87936783773,26.3483022077,0.0,344.907947,7.87936783773,-337.028579162,0.00131216791008,0.197028432581
19,RATE_MDS_TOT_SPEC_OFFBASED,29.1107161008,37.3840852115,0.0,532.386868,29.1107161008,-503.276151899,0.000146413230949,0.666610649438
20,RATE_SHRTTERM_HOSP_BEDS,32.2504139082,46.229606105,0.0,859.846025,32.2504139082,-827.595611092,0.000509111059447,0.421739587494
21,DM_Temp,65.1946325211,8.81783491396,42.22,87.44,22.9746325211,-22.2453674789,0.000165772092575,0.646662739278
